Metric,Definition
Metro Population (Million),Population (in million) of the broader Metropolitan Statistical Area of the ecosystem
Globally Leading Product,Percentage of startups that are developing a new product.
Locally Customized Product,Percentage of startups that are developing a local version of an existing product.
% Personal Financial Support,"Percentage of founders who had or were sure of support from personal sources such as savings, family, spouse, or friends"
% Third-Party Financial Support,"Percentage of founders who were aware of third-party support such as insurance, loans or grants"
College Employee,Percentage of entrepreneurs that had prior experience working as an academic researcher
Family Founders,Percentage of entrepreneurs that have entrepreneurs amongst their family members
Financed by Family,Percentage of entrepreneurs who were initially financed by family
Financed by Friends,Percentage of entrepreneurs who were initially financed by friends
Financed by Grants,Percentage of entrepreneurs who were initially financed by grants and loans
Financed by Insurance,Percentage of entrepreneurs who were initially financed by unemployment insurance
Financed by Savings,Percentage of entrepreneurs who were initially financed by savings
Financed by Spouse,Percentage of entrepreneurs who were initially financed by their spouse
Founders with Experience in Sub-Sector,Percentage of founders with prior experience in the field the startup is operating in.
Friend & Family Founders,Percentage of entrepreneurs that have entrepreneurs amongst their friends & family members
Friend Founders,Percentage of entrepreneurs that have entrepreneurs amongst their friends
Grandparent Founders,Percentage of entrepreneurs that have entrepreneurs amongst their grandparents
Immigrant Child,Percentage of entrepreneurs that immigrated to the country as children
Immigrant Founders,Percentage of entrepreneurs that immigrated to the country
Large Tech Company Employee,Percentage of entrepreneurs that had prior experience working with a large tech company
Local Degree,Percentage of entrepreneurs a local degree
Neighbor Founders,Percentage of entrepreneurs that have entrepreneurs amongst their neighbors
No College Degree,Percentage of entrepreneurs that have no college degree
Parent Founders,Percentage of entrepreneurs that have entrepreneurs amongst their parents
Raised Locally,Percentage of entrepreneurs raised locally
Related College Degree,Percentage of entrepreneurs with college degree related to their field of startup
Related Field Employee,Percentage of entrepreneurs who worked in a similar field before founding the company
Related Industry Employee,Percentage of entrepreneurs that had prior experience working in a related industry (sub-sector)
Research Employee,Percentage of entrepreneurs that had prior experience working for a research institution in a related field
Sibling Founders,Percentage of entrepreneurs whose founders are siblings
SMB Employee,Percentage of entrepreneurs that had prior experience working for SMBs
